,Name,Artist,year_in_which_song_repeated,Genre,song_repeated_in_one_year_count,total_years_song_repeated
382,photograph,nickelback,2005,"Acoustic,Hard Rock,Adult Contemporary,Alternative Rock,Post-Grunge,Pop-Rock,Memes,Rock",16,2
383,if heaven,andy griggs,2005,Country,16,1
384,lady,lenny kravitz,2005,"Funk Rock,Hard Rock,Producer,Adult Alternative,Soul,Alternative Rock,Rock",16,2
385,number one spot,ludacris,2005,Rap,16,1
386,true,ryan cabrera,2005,Pop,16,2
387,beautiful soul,jesse mccartney,2005,Pop,16,2
388,drop it like it's hot,snoop dogg,2005,"West Coast,Memes,Producer,Rap",16,2
389,we be burnin',sean paul,2005,"Jamaica,Pop,Dancehall,Rap",15,2
390,come a little closer,dierks bentley,2005,"Country,Rock",15,2
391,you're my better half,keith urban,2005,Country,15,2
392,mud on the tires,brad paisley,2005,Country,15,2
393,what's a guy gotta do,joe nichols,2005,Pop,15,1
394,boyfriend,ashlee simpson,2005,"Pop,Pop-Rock",15,2
395,songs about me,trace adkins,2005,Country,15,1
396,stay fly,three 6 mafia,2005,"Trap,Rap",15,2
397,i can't stop loving you,kem,2005,Pop,14,1
398,bring em out,t.i.,2005,Rap,14,2
399,probably wouldn't be this way,leann rimes,2005,Country,14,1
400,signs,snoop dogg,2005,"West Coast,Funk,Pop,R&;B,Rap",14,1
401,naked,marques houston,2005,"R&;B,Pop",14,1
402,tell me,bobby valentino,2005,R&;B,14,1
403,give a little bit,goo goo dolls,2005,Rock,14,2
404,all these things that i've done,the killers,2005,"Indie Rock,New Wave,Rock",14,1
405,again,faith evans,2005,"R&;B,Soul",14,1
406,daughters,john mayer,2005,"Adult Alternative,Blues,Pop,Ballad,Singer-Songwriter,Pop-Rock,Adult Contemporary,Blues Rock,Acoustic,Rock",14,2
407,get back,ludacris,2005,Rap,13,2
408,better days,goo goo dolls,2005,Rock,13,2
409,who you'd be today,kenny chesney,2005,"Country,Rock",13,2
410,karma,lloyd banks,2005,"R&;B,Rap",13,2
411,nobody's home,avril lavigne,2005,"Pop,Pop-Rock,Canada,Rock",13,2
412,i should have cheated,keyshia cole,2005,"R&;B,Rap",13,2
413,la camisa negra,juanes,2005,"En Espa\xc3\xb1ol,Rock,Pop",13,1
414,soul meets body,death cab for cutie,2005,"Rock,Indie Rock",13,2
415,still tippin',mike jones,2005,"Soundtrack,Dirty South,Underground Hip-Hop,Hip-Hop,Rap",13,1
416,summer nights,lil rob,2005,Rap,13,1
417,homewrecker,gretchen wilson,2005,Country,13,1
418,one wish,ray j,2005,"Rap,R&;B",12,2
419,gasolina,daddy yankee,2005,"Latin Urban,Hip-Hop,Rap,Puerto Rico,Latin Pop,En Espa\xc3\xb1ol,Latin Music,Reggaeton",12,2
420,dreams,the game,2005,Rap,12,1
421,welcome to jamrock,"damian ""jr. gong"" marley",2005,"Reggae,Soundtrack,Hip-Hop,Jamaica,Dancehall,Rap",12,1
422,dem boyz,boyz n da hood,2005,Rap,12,1
423,somewhere only we know,keane,2005,"Alternative,Ballad,Adult Contemporary,Adult Alternative,Piano,Pop-Rock,Alternative Rock,UK,Rock",12,1
424,tequila makes her clothes fall off,joe nichols,2005,Pop,12,2
425,inside your heaven,carrie underwood,2005,Country,12,1
426,big blue note,toby keith,2005,"Country,Rock",12,1
427,i may hate myself in the morning,lee ann womack,2005,Pop,12,1
428,honkytonk u,toby keith,2005,"Country,Rock",12,1
429,american baby,dave matthews band,2005,Rock,11,1
430,all jacked up,gretchen wilson,2005,Country,11,1
431,like toy soldiers,eminem,2005,"Hip-Hop,Conscious Hip-Hop,Rap",11,1
432,let's get blown,snoop dogg,2005,"West Coast,R&;B,Funk,Rap",11,1
433,let them be little,billy dean,2005,Pop,11,1
434,monday morning church,alan jackson,2005,Country,11,2
435,doesn't remind me,audioslave,2005,"Post-Grunge,Alternative Rock,Hard Rock,Rock",11,1
436,you're like comin' home,lonestar,2005,Country,11,1
437,baby mama,fantasia,2005,R&;B,11,1
438,if it's lovin' that you want,rihanna,2005,"R&;B,Pop",11,2
439,do you want fries with that,tim mcgraw,2005,"Country,Rock",11,1
440,over and over,nelly,2005,"Adult Contemporary,Pop Country,Country Rap,Hip-Hop,Pop,Country,Neo Soul,R&;B,Rap",11,2
441,help somebody,van zant,2005,Pop,11,1
442,must be doin' somethin' right,billy currington,2005,"Country,Rock",11,2
443,all because of you,marques houston,2005,"R&;B,Rap",10,1
444,boondocks,little big town,2005,Country,10,2
445,presidential,youngbloodz,2005,Pop,10,2
446,some beach,blake shelton,2005,"Country,Rock",10,2
447,welcome to my life,simple plan,2005,Rock,10,2
448,have a nice day,bon jovi,2005,"Hard Rock,Rock",10,2
449,jerk it out,caesars,2005,"Memes,Rock,Indie Rock",10,1
450,goodies,ciara,2005,"R&;B,Rap",10,2
451,good is good,sheryl crow,2005,"Country,Rock",10,1
452,keg in the closet,kenny chesney,2005,Country,10,1
453,don't worry 'bout a thing,shedaisy,2005,Pop,10,1
454,drugs or jesus,tim mcgraw,2005,"Country,Rock",9,1
455,she let herself go,george strait,2005,"Country,Rock",9,2
456,he gets that from me,reba mcentire,2005,Country,9,2
457,"dance, dance",fall out boy,2005,"Alternative Pop,Alternative,Emo,Pop-Punk,Punk Rock,Pop-Rock,Alternative Rock,Rock",9,2
458,goodbye time,blake shelton,2005,Country,9,1
459,little sister,queens of the stone age,2005,"Stoner Rock,Hard Rock,Alternative Rock,Rock",9,1
460,honky tonk badonkadonk,trace adkins,2005,Country,9,2
461,if something should happen,darryl worley,2005,Pop,9,1
462,turn it up,chamillionaire,2005,Pop,9,2
463,billy's got his beer goggles on,neal mccoy,2005,Country,9,1
464,miss me baby,chris cagle,2005,Pop,9,2
465,can i have it like that,pharrell,2005,"Pop,Funk,R&;B,Rap",8,1
466,god's will,martina mcbride,2005,Country,8,1
467,only,nine inch nails,2005,"Electronic Rock,Alternative Rock,Rock",8,1
468,back when,tim mcgraw,2005,"Country,Rock",8,2
469,you're beautiful,james blunt,2005,Pop,8,2
470,i'm feeling you,santana,2005,"Blues Rock,Rock",8,1
471,luxurious,gwen stefani,2005,"R&;B,Rap,Pop",8,2
472,i just wanna live,good charlotte,2005,Rock,8,1
473,asap,t.i.,2005,Rap,8,1
474,what you waiting for?,gwen stefani,2005,"Funk,Alternative Dance,New Wave,Electro-Pop,Pop-Rock,Pop",8,2
475,hypnotize,system of a down,2005,"Pop-Rock,Pop,Alternative Rock,Alternative Metal,Rock",8,2
476,hung up,madonna,2005,"Dance-Pop,Synth-Pop,Electronica,Electronic,Dance,Disco,Pop",8,2
477,mjb da mvp,mary j. blige,2005,"Soul,R&;B,Rap",8,1
478,doa,foo fighters,2005,Rock,8,2
479,wonderful,ja rule,2005,Rap,8,2
480,ass like that,eminem,2005,"Hip-Hop,Rap",7,1
481,axel f,crazy frog,2005,"Memes,Pop",7,1
482,shorty wanna ride,young buck,2005,Rap,7,2
483,"jesus, take the wheel",carrie underwood,2005,Country,7,2
484,save me,shinedown,2005,Rock,7,2
485,vertigo,u2,2005,"Ireland,Rock",7,2
486,grillz,nelly,2005,"Crunk,Dirty South,Hip-Hop,Rap",7,2
487,blue orchid,the white stripes,2005,Rock,7,1
488,n dey say,nelly,2005,"Hip-Hop,R&;B,Rap",7,1
489,new york,ja rule,2005,"Hardcore Hip-Hop,Beef,Gangsta Rap,East Coast,Hip-Hop,Rap",7,2
490,when i think about cheatin',gretchen wilson,2005,Pop,7,2
491,like you,daddy yankee,2005,"R&;B,Pop,Latin Music,Latin Urban,Puerto Rico,Reggaeton,En Espa\xc3\xb1ol,Rap",7,1
492,just lose it,eminem,2005,"Hip-Hop,Beef,Memes,Rap",6,2
493,u make me wanna,jadakiss,2005,Rap,6,2
494,twisted transistor,korn,2005,"Industrial,Nu-Metal,Rock",6,2
495,wake up,hilary duff,2005,"Electro-Pop,Pop-Rock,Pop",6,1
496,go!,common,2005,Rap,6,1
497,dare you to move,switchfoot,2005,"Christian Rock,Christian,Alternative,Alternative Rock,Rock",6,2
498,shine on,ryan cabrera,2005,Pop,5,1
499,so much more,fat joe,2005,Rap,5,1
500,stars,switchfoot,2005,"Rock,Pop",5,1
501,la la,ashlee simpson,2005,"Pop,Pop-Rock",5,1
502,gotta go,trey songz,2005,R&;B,5,2
503,hustler's ambition,50 cent,2005,Rap,5,1
504,getting away with murder,papa roach,2005,"Alternative Rock,Rock",5,2
505,you're the one,guerilla black,2005,Pop,5,2
506,balla baby,chingy,2005,Rap,5,2
507,one thing,finger eleven,2005,Rock,5,2
508,i changed my mind,keyshia cole,2005,"R&;B,Rap",5,2
509,how am i doin',dierks bentley,2005,"Country,Rock",5,2
510,the woman with you,kenny chesney,2005,"Country,Rock",5,2
511,in the kitchen,r. kelly,2005,"Soul,Soul Pop,Pop,R&;B",5,1
512,pretty vegas,inxs,2005,Pop,5,2
513,ghetto,akon,2005,"R&;B,Rap",5,1
514,my old friend,tim mcgraw,2005,"Country,Rock",5,2
515,unwritten,natasha bedingfield,2005,"UK,Screen,Soundtrack,R&;B,Pop",4,2
516,dangerously in love,beyonce,2005,"R&;B,Pop",4,2
517,mr. mom,lonestar,2005,Country,4,2
518,happy?,mudvayne,2005,Rock,4,1
519,hold you down,the alchemist,2005,"Producer,Rap",4,1
520,looking for you,kirk franklin,2005,Pop,4,2
521,wordplay,jason mraz,2005,Rock,4,1
522,be my escape,relient k,2005,Rock,4,1
523,just want you to know,backstreet boys,2005,Pop,4,1
524,so sick,ne,2005,R&;B,4,2
525,nothing on but the radio,gary allan,2005,Pop,4,2
526,charlene,anthony hamilton,2005,"Ballad,Neo Soul,Soul,R&;B",4,2
527,pump it,the black eyed peas,2005,"Dance-Pop,Hip-Hop,Pop,Rap",4,2
528,do you want to,franz ferdinand,2005,Rock,4,1
529,on the way down,ryan cabrera,2005,Pop,4,2
530,my sister,reba mcentire,2005,Country,4,1
531,rodeo,juvenile,2005,Rap,4,2
532,breathe,fabolous,2005,Rap,4,2
533,oye mi canto,n.o.r.e.,2005,"Puerto Rico,Hip-Hop,Latin Urban,Reggaeton,En Espa\xc3\xb1ol,Rap",3,2
534,touch,omarion,2005,R&;B,3,1
535,precious,depeche mode,2005,"Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Rock",3,1
536,thugs get lonely too,2pac,2005,"Remix,Gangsta Rap,West Coast,Rap",3,2
537,remedy,seether,2005,"Nu-Metal,Post-Grunge,Alternative Metal,Rock",3,2
538,sometimes you can't make it on your own,u2,2005,"Ireland,Rock",3,1
539,home,three days grace,2005,Rock,3,1
540,broken,seether,2005,Rock,3,2
541,live like you were dying,tim mcgraw,2005,"Country,Rock",3,2
542,she's no you,jesse mccartney,2005,"Soundtrack,Pop",3,1
543,i'll be around,daryl hall john oates,2005,Pop,3,1
544,hush,ll cool j,2005,Rap,3,2
545,come home soon,shedaisy,2005,Pop,3,2
546,1985,bowling for soup,2005,"Pop-Punk,Rock",3,2
547,landed,ben folds,2005,"Alternative Rock,Rock",2,1
548,touch it,busta rhymes,2005,Rap,2,2
549,perfect situation,weezer,2005,"Pop-Punk,Emo,Alternative Rock,Rock",2,2
550,in a real love,phil vassar,2005,Pop,2,2
551,kerosene,miranda lambert,2005,Country,2,2
552,l.o.v.e.,ashlee simpson,2005,Rock,2,2
553,pain,jimmy eat world,2005,"Alternative Rock,Rock",2,1
554,my happy ending,avril lavigne,2005,"Pop,Canada,Rock",2,2
555,your man,josh turner,2005,"Country,Rock",2,2
556,somebody told me,the killers,2005,"Post-Punk Revival,New Wave,Rock",2,2
557,sooner or later,breaking benjamin,2005,"Hard Rock,Post-Grunge,Alternative Metal,Rock",2,1
558,stricken,disturbed,2005,"Heavy Metal,Nu-Metal,Rock",2,2
559,the talkin' song repair blues,alan jackson,2005,Country,2,1
560,the widow,the mars volta,2005,Rock,2,1
561,cold,crossfade,2005,"Post-Grunge,Nu-Metal,Metal,Alternative Metal,Rock",1,2
562,a rose by any other name,teena marie,2005,R&;B,1,2
563,amor eterno,cristian castro,2005,"En Espa\xc3\xb1ol,Pop",1,1
564,an honest mistake,the bravery,2005,"Rock,Indie Rock",1,1
565,and i,ciara,2005,"R&;B,Rap",1,1
566,bitches ain't shit,ben folds,2005,"Cover,Parody,Comedy,Alternative Rock,Rock",1,1
567,so what the fuss,stevie wonder,2005,"Rock,Soul Pop,Soul,R&;B",1,1
568,girl,beck,2005,"Adult Alternative,Pop-Rock,Experimental Folk,Electronic Rock,Alternative Rock,Alternative,Rock",1,1
569,real big,mannie fresh,2005,Rap,1,2
570,why do you love me,garbage,2005,"Alternative Rock,Rock",1,1
571,tonight i wanna cry,keith urban,2005,Country,1,2
572,nada es para siempre,luis fonsi,2005,"En Espa\xc3\xb1ol,Pop",1,1
573,piggy bank,50 cent,2005,"Beef,Rap",1,1
574,juicebox,the strokes,2005,"Indie Rock,Rock",1,1
575,thinking out loud,ed sheeran,2015,"Soul,UK,Pop",48,2
576,sugar,maroon 5,2015,"Adult Alternative,Adult Contemporary,Pop-Rock,Rock,Pop",42,1
577,want to want me,jason derulo,2015,"Pop,R&;B",35,1
578,shake it off,taylor swift,2015,"Dance-Pop,Pop",33,2
579,fight song,rachel platten,2015,"Power Pop,Pop",31,1
580,"honey, i'm good.",andy grammer,2015,"Rock,Pop",31,1
581,photograph,ed sheeran,2015,"Acoustic,Folk,UK,Pop",30,1
582,style,taylor swift,2015,"Pop-Rock,Funk-Pop,Disco,Pop",30,2
583,blank space,taylor swift,2015,"Teen Pop,Synth-Pop,Electro-Pop,Pop",29,2
584,uma thurman,fall out boy,2015,"Electronic Rock,Electro-Pop,Electronic,Punk Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Pop,Rock",27,1
585,slow motion,trey songz,2015,R&;B,26,1
586,bad blood,taylor swift,2015,"Electro-Hop,Electro-Pop,Rap,Pop",24,2
587,girl crush,little big town,2015,"Ballad,Country,Rock",24,1
588,i'm comin' over,chris young,2015,Country,23,1
589,cool for the summer,demi lovato,2015,Pop,20,1
590,blessings,big sean,2015,"Canada,Trap,Rap",20,1
591,energy,drake,2015,"Producer,Trap,Canada,Rap",20,1
592,centuries,fall out boy,2015,"Punk Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Pop,Rock",20,2
593,don't it,billy currington,2015,Country,20,1
594,kick the dust up,luke bryan,2015,Country,20,1
595,feeling myself,nicki minaj,2015,Rap,20,1
596,know yourself,drake,2015,"Trap,Canada,Rap",20,1
597,sangria,blake shelton,2015,Country,20,1
598,"john cougar, john deere, john 3:16",keith urban,2015,Country,20,1
599,heartbeat song,kelly clarkson,2015,Pop,20,1
600,truffle butter,nicki minaj,2015,"Canada,Electro-Hop,House,Producer,Rap",20,1
601,i really like you,carly rae jepsen,2015,"Canada,Pop",20,1
602,homegrown,zac brown band,2015,Country,20,1
603,planez,jeremih,2015,"R&;B,Rap",20,1
604,hotline bling,drake,2015,"Hip-Hop,Rap,Producer,Pop,R&;B,Memes,Canada",19,2
605,wet dreamz,j. cole,2015,"Producer,Rap",19,2
606,strip it down,luke bryan,2015,Country,19,2
607,say you do,dierks bentley,2015,Country,18,1
608,little toy guns,carrie underwood,2015,Country,18,1
609,only,nicki minaj,2015,"DMV,Canada,East Coast,Trap,Rap",18,2
610,one hell of an amen,brantley gilbert,2015,"Country,Rock",18,1
611,lonely eyes,chris young,2015,Country,18,1
612,ghost town,adam lambert,2015,"House,Pop-Rock,Glam Rock,Rock,Electronic,Pop",17,1
613,the night is still young,nicki minaj,2015,"Pop,Rap",17,1
614,loving you easy,zac brown band,2015,Country,17,1
615,save it for a rainy day,kenny chesney,2015,Country,17,1
616,homegrown honey,darius rucker,2015,Country,17,2
617,i don't fuck with you,big sean,2015,"Hyphy,West Coast,Producer,Rap",17,2
618,no role modelz,j. cole,2015,"Producer,Rap",16,3
619,smoke break,carrie underwood,2015,Country,16,2
620,she knows,ne,2015,"R&;B,Rap",16,2
621,i see you,luke bryan,2015,Country,16,2
622,animals,maroon 5,2015,"Adult Contemporary,Adult Alternative,Pop-Rock,Pop",16,2
623,baby be my love song,easton corbin,2015,Country,16,1
624,apparently,j. cole,2015,"Producer,Rap",16,1
625,what do you mean?,justin bieber,2015,"Canada,Tropical House,Electro-Pop,Electronic,Pop",15,2
626,wildest dreams,taylor swift,2015,"Dream-Pop,Pop",15,3
627,liquor,chris brown,2015,R&;B,15,2
628,crushin' it,brad paisley,2015,Country,15,1
629,alright,kendrick lamar,2015,"Hip-Hop,Pop,Politics,Screen,Producer,Post-Bop,Christian,Conscious Hip-Hop,Trap,West Coast,Rap",14,1
630,the hanging tree,james newton howard,2015,"Soundtrack,Folk,Pop,Screen,Literature",14,2
631,raise 'em up,keith urban,2015,Country,14,1
632,i lived,onerepublic,2015,"Screen,Soundtrack,Folk Rock,Folk,Pop-Rock,Pop,Rock",14,2
633,chandelier,sia,2015,"Adult Contemporary,Ballad,Reggae,R&;B,Electro-Pop,Pop",14,2
634,i bet,ciara,2015,R&;B,14,1
635,gonna,blake shelton,2015,"Country,Pop",13,2
636,drinking class,lee brice,2015,"Country,Rock",13,2
637,10 bands,drake,2015,"Trap,Canada,Rap",13,1
638,like a cowboy,randy houser,2015,Country,12,2
639,stressed out,twenty one pilots,2015,"Pop-Rock,Piano,Rap Rock,Adult Alternative,Alternative Pop,Alternative,Alternative Rock,Rap,Pop",12,2
640,on my mind,ellie goulding,2015,"Gaming,Soundtrack,Pop",12,2
641,legend,drake,2015,"Canada,Rap",12,1
642,king kunta,kendrick lamar,2015,"Producer,Funk,Funk Rock,G-Funk,Rap,West Coast",11,1
643,what we ain't got,jake owen,2015,"Country,R&;B,Rock",11,1
644,little red wagon,miranda lambert,2015,Country,11,1
645,stuck on a feeling,prince royce,2015,R&;B,10,1
646,100,the game,2015,"Trap,Canada,West Coast,Rap",10,1
647,confident,demi lovato,2015,"Pop-Rock,Marvel,Pop",10,2
648,one man can change the world,big sean,2015,Rap,10,1
649,shotgun rider,tim mcgraw,2015,"Country,Rock",9,2
650,don't,ed sheeran,2015,"R&;B,Rap,UK,Pop",9,2
651,top of the world,tim mcgraw,2015,Country,9,2
652,something in the water,carrie underwood,2015,"Christian,Country",9,2
653,immortals,fall out boy,2015,"Disney,Electronic Rock,Electro-Pop,Punk Rock,Pop-Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Punk,Pop,Rock",8,1
654,tear in my heart,twenty one pilots,2015,"Electro-Pop,Indie Pop,Pop",8,1
655,sorry,justin bieber,2015,"Canada,Tropical House,Electro-Pop,Electronic,Pop",7,2
656,cheyenne,jason derulo,2015,"R&;B,Pop",7,1
657,til it's gone,kenny chesney,2015,Country,7,2
658,perfect storm,brad paisley,2015,Country,7,2
659,hood go crazy,tech n9ne,2015,Rap,7,1
660,hello,adele,2015,"Adult Alternative,Adult Contemporary,Ballad,Piano,Soul,Memes,UK,Pop",7,2
661,play no games,big sean,2015,"R&;B,Rap",6,2
662,powerful,major lazer,2015,"Pop,Tech,Electro-Pop,Electro,Dance,Electronic",6,1
663,don't tell 'em,jeremih,2015,"Fashion,R&;B,Rap",6,2
664,i'll show you,justin bieber,2015,"Canada,Electro-Pop,Electronic,Pop",6,2
665,games,luke bryan,2015,Country,5,1
666,my house,flo rida,2015,"Pop,Rap",5,2
667,irresistible,fall out boy,2015,"Pop-Punk,Punk Rock,Alternative Rock,Pop-Rock,Pop,Rock",4,2
668,company,justin bieber,2015,"Electronic,Dance-Pop,Dance,Canada,Pop",4,2
669,stand by you,rachel platten,2015,Pop,4,2
670,the feeling,justin bieber,2015,"Canada,Pop",4,2
671,used to love you,gwen stefani,2015,Pop,4,2
672,somewhere in my car,keith urban,2015,"Country,Rock",4,2
673,mark my words,justin bieber,2015,"Canada,Pop",4,1
674,love yourself,justin bieber,2015,"UK,Canada,Pop",4,2
675,no pressure,justin bieber,2015,"Rap,Canada,Pop",4,1
676,coffee,miguel,2015,"Soul,Soul Pop,R&;B",3,1
677,home alone tonight,luke bryan,2015,Country,3,2
678,high by the beach,lana del rey,2015,"Psychedelic,Dream-Pop,Power Pop,Trap,Alternative Pop,Alternative,Pop",3,1
679,bed of lies,nicki minaj,2015,"Soul Pop,R&;B,Pop,Rap",3,2
680,when we were young,adele,2015,"Piano,Ballad,Soul,UK,Pop",3,2
681,trumpets,jason derulo,2015,"Pop,R&;B",3,2
682,beautiful drug,zac brown band,2015,Country,3,2
683,about you,trey songz,2015,R&;B,3,1
684,anaconda,nicki minaj,2015,"Memes,Rap,Pop,Producer",3,2
685,no sense,justin bieber,2015,"Rap,Canada,Pop",3,1
686,all i want for christmas is you,mariah carey,2015,"East Coast,Christmas,R&;B,Pop",3,9
687,masterpiece,jessie j,2015,"UK,Pop",3,1
688,try,colbie caillat,2015,"Feminism,Pop",3,2
689,neon light,blake shelton,2015,"Non-Music,Country,Rock",3,2
690,what kind of man,florence + the machine,2015,"Alternative Rock,UK,Pop,Rock",2,1
691,30 for 30 freestyle,drake,2015,"Canada,Rap",2,1
692,used to,drake,2015,"Trap,Canada,Rap",2,1
693,alive,sia,2015,"Australia,Pop",2,2
694,brother,needtobreathe,2015,"Christian,Rock",2,1
695,you changed me,jamie foxx,2015,R&;B,2,1
696,life is worth living,justin bieber,2015,"Canada,Pop",2,1
697,emperor's new clothes,panic! at the disco,2015,"Emo,Pop-Rock,Pop,Rock",2,2
698,preach,drake,2015,"Trap,Canada,Rap",2,1
699,down in the dm,yo gotti,2015,Rap,2,2
700,good lovin,ludacris,2015,"R&;B,Rap",2,1
701,no sleeep,janet,2015,"Remix,Pop,Soul,R&;B,Rap",2,1
702,no tellin',drake,2015,"Trap,Canada,Rap",2,1
703,we went,randy houser,2015,Country,1,2
704,about the money,t.i.,2015,"Atlanta,Trap,Rap",1,2
705,get on your knees,nicki minaj,2015,"Pop,Rap",1,1
706,get used to it,justin bieber,2015,"Electronic,Dance-Pop,Dance,Canada,Pop",1,1
707,6 man,drake,2015,"Trap,Canada,Rap",1,1
708,water under the bridge,adele,2015,"Adult Alternative,Adult Contemporary,Ballad,Disco,Tropical House,Trip-Hop,UK,Pop",1,3
709,been you,justin bieber,2015,"Electronic,Dance,Dance-Pop,Canada,Pop",1,1
710,trust,justin bieber,2015,"R&;B,Canada,Pop",1,1
711,6 god,drake,2015,"Alternative R&;B,Producer,Trap,Canada,Rap",1,1
712,institutionalized,kendrick lamar,2015,"Producer,East Coast,Conscious Hip-Hop,West Coast,Rap",1,1
713,hallelujah,panic! at the disco,2015,"Alternative Pop,Alternative,Alternative Rock,Pop-Punk,Punk Rock,Pop-Rock,Christian,Power Pop,Rock,Pop",1,1
714,i put a spell on you,annie lennox,2015,"Cover,Soundtrack,Screen,Pop",1,1
715,100 grandkids,mac miller,2015,Rap,1,1
716,wonderland,taylor swift,2015,"Electro-Pop,Synth-Pop,Dance-Pop,Pop",1,1
717,you are in love,taylor swift,2015,Pop,1,1
718,wesley's theory,kendrick lamar,2015,"Jazz-Funk,Jazz Fusion,Soul,P-Funk,Gangsta Rap,Conscious Hip-Hop,Producer,Funk,G-Funk,West Coast,Rap",1,1
719,failure,breaking benjamin,2015,"Post-Grunge,Hard Rock,Alternative Rock,Rock",1,1
720,first kiss,kid rock,2015,Rock,1,1
721,fairly local,twenty one pilots,2015,"Alternative,Electronic,Electro-Pop,Dubstep,Rap,Pop",1,1
